TICKER;LAST;CHG%;CHG;RATING;VOL;MKT CAP;P/E;EPS (TTM);EMPLOYEES;sector
ALIMR;2.28;20.00%;0.38;Buy;8.909K;2.401M;—;—;42.00;Technology Services
ALEAC;5.90;13.46%;0.70;Buy;1.250K;34.323M;—;—;—;Industrial Services
ALROC;2.70;11.57%;0.28;Buy;7.542K;10.918M;—;—;—;Process Industries
MLOLM;11.50;9.52%;1.00;Buy;50;—;—;—;—;Process Industries
VLA;4.22;9.47%;0.36;Buy;739.918K;354.312M;—;-0.02;—;Health Technology
OSE;7.48;8.72%;0.60;Buy;173.731K;103.936M;—;-0.31;42.00;Health Technology
MLSBT;5.00;8.70%;0.40;Sell;15;9.149M;—;—;—;Technology Services
AMEBA;3.52;8.64%;0.28;Buy;868.602K;43.920M;—;-0.99;—;Health Technology
ALINV;6.30;8.62%;0.50;Buy;10;15.060M;—;0.23;—;Technology Services
ALOBR;8.10;7.28%;0.55;Buy;201;10.884M;—;—;430.00;Producer Manufacturing
POXEL;9.17;7.13%;0.61;Buy;403.287K;221.475M;—;-0.99;—;Health Technology
ALGTR;4.60;6.98%;0.30;Strong Buy;5.708K;—;—;—;—;Electronic Technology
SMCP;4.75;6.55%;0.29;Buy;208.924K;328.069M;8.04;0.60;6597.00;Retail Trade
JBOG;7.40;6.32%;0.44;Buy;28.669K;106.255M;—;0.65;—;Consumer Non-Durables
ALLLN;2.86;5.93%;0.16;Buy;2.876K;41.081M;—;—;—;Communications
CTRG;9.22;5.49%;0.48;Buy;5.886K;68.497M;12.78;0.68;13425.00;Commercial Services
LNA;43.00;5.39%;2.20;Buy;15.645K;393.744M;18.90;2.16;5496.00;Health Services
ALTUR;4.80;5.26%;0.24;Buy;4.187K;18.996M;—;—;—;Finance
ASP;2.41;5.24%;0.12;Buy;1.531K;29.522M;11.24;0.20;637.00;Consumer Durables
ABEO;7.36;5.14%;0.36;Sell;4.460K;52.579M;15.98;0.44;1736.00;Distribution Services
FFP;64.70;5.03%;3.10;Buy;26.157K;1.525B;11.60;5.31;27.00;Finance
EXAC;108.00;4.85%;5.00;Buy;1;116.542M;6.83;15.08;3631.00;Process Industries
LACR;20.80;4.79%;0.95;Buy;2.010K;71.024M;6.75;2.97;4300.00;Producer Manufacturing
ELEC;115.00;4.55%;5.00;Strong Buy;271;788.633M;—;7.39;—;Utilities
ALGEM;28.40;4.41%;1.20;Buy;1.318K;117.182M;—;—;—;Consumer Non-Durables
ALI2S;3.96;4.21%;0.16;Buy;250;6.608M;—;0.05;—;Electronic Technology
CATG;2.38;4.15%;0.10;Buy;1.722M;69.811M;7.76;0.30;484.00;Producer Manufacturing
SAMS;126.00;4.13%;5.00;Buy;112;417.243M;10.15;11.92;—;Distribution Services
ALFPC;52.00;4.00%;2.00;Buy;10.337K;83.346M;—;5.98;—;Consumer Durables
ALKAL;18.30;3.98%;0.70;Buy;3.065K;88.917M;—;-2.01;—;Electronic Technology
PARP;18.45;3.94%;0.70;Neutral;805;170.661M;9.16;1.94;—;Consumer Services
ALESK;108.00;3.85%;4.00;Strong Buy;3.655K;582.606M;60.31;1.78;681.00;Technology Services
ALTTI;5.00;3.73%;0.18;Buy;2.042K;34.567M;—;—;63.00;Technology Services
PERR;56.60;3.66%;2.00;Buy;3.924K;201.123M;14.45;3.78;1717.00;Producer Manufacturing
BB;46.62;3.65%;1.64;Sell;45.730K;2.024B;11.55;3.91;16794.00;Consumer Durables
ELIOR;6.03;3.61%;0.21;Sell;326.848K;1.013B;3.79;1.54;110162.00;Consumer Services
VIL;5.20;3.59%;0.18;Buy;3.621K;326.107M;—;0.62;—;Finance
PSB;16.60;3.43%;0.55;Buy;766;57.615M;4.95;3.29;1939.00;Process Industries
CRLO;89.95;3.36%;2.92;Buy;57;705.552M;7.67;11.34;1428.00;Finance
ALPOU;4.38;3.30%;0.14;Buy;1.339K;21.671M;13.47;0.31;—;Retail Trade
ALESA;7.52;3.30%;0.24;Buy;2.971K;32.244M;—;-0.37;—;Industrial Services
ALMRB;3.16;3.27%;0.10;Buy;1.245K;31.299M;—;-2.54;—;Retail Trade
ALCOF;258.00;3.20%;8.00;Buy;6;9.669M;—;—;456.00;Electronic Technology
PAT;15.20;3.05%;0.45;Buy;619;203.664M;7.94;1.86;9.00;Finance
