TICKER;LAST;CHG%;CHG;RATING;VOL;MKT CAP;P/E;EPS (TTM);EMPLOYEES;sector
BOL;2.53;3.18%;0.08;Buy;639.308K;7.175B;—;0.08;—;Consumer Services
DGE;33.01;3.16%;1.01;Buy;4;73.918B;21.12;1.52;28150.00;Consumer Non-Durables
AM;722.50;3.14%;22.00;Strong Sell;7.251K;5.823B;8.17;85.73;12757.00;Electronic Technology
ALBUD;4.27;3.14%;0.13;Buy;22.237K;23.566M;—;-0.09;—;Communications
SBT;11.20;3.13%;0.34;Buy;14.574K;703.222M;23.86;0.46;1102.00;Process Industries
ALONC;13.20;3.12%;0.40;Buy;19.840K;87.054M;—;0.24;—;Health Technology
MDW;8.30;3.11%;0.25;Buy;7.736K;256.557M;579.14;0.02;—;Commercial Services
ALO;36.32;3.09%;1.09;Sell;487.935K;7.961B;23.94;1.48;36270.00;Producer Manufacturing
IPN;68.50;3.09%;2.05;Buy;38.220K;5.518B;—;-0.61;5807.00;Health Technology
ASY;20.60;3.00%;0.60;Buy;1.733K;299.951M;11.34;1.80;5993.00;Industrial Services
MEDCL;10.00;2.88%;0.28;Buy;69.259K;195.347M;—;-0.94;—;Health Technology
ORP;99.80;2.84%;2.76;Buy;59.623K;6.266B;—;3.81;—;Health Services
LHN;37.67;2.84%;1.04;Buy;19.442K;22.800B;10.82;3.39;72452.00;Non-Energy Minerals
AF;4.21;2.83%;0.12;Sell;2.029M;1.751B;6.30;0.68;90386.00;Transportation
ATE;69.30;2.82%;1.90;Buy;52.993K;2.271B;13.92;4.90;37200.00;Technology Services
XFAB;3.10;2.81%;0.09;Buy;154.814K;394.509M;—;-0.31;—;Electronic Technology
AUB;25.70;2.80%;0.70;Buy;5.787K;329.936M;12.56;2.00;6503.00;Technology Services
AUT;44.37;2.78%;1.20;Buy;547;—;—;—;—;Miscellaneous
SW;65.46;2.76%;1.76;Sell;130.104K;9.277B;13.89;4.66;470237.00;Commercial Services
RIO;11.36;2.75%;0.30;Sell;14.077K;—;—;—;—;Miscellaneous
PAFS;7.47;2.71%;0.20;Buy;1.000K;—;—;—;—;Miscellaneous
ALMRB;3.06;2.68%;0.08;Buy;1.511K;30.481M;—;-2.54;—;Retail Trade
PRIO;6.88;2.66%;0.18;Sell;1.800K;—;—;—;—;Miscellaneous
ALAT;8.60;2.65%;0.22;Sell;242.825K;—;—;—;—;Miscellaneous
ALBLD;6.98;2.65%;0.18;Sell;1.494K;27.860M;—;0.53;—;Technology Services
AFS;24.00;2.64%;0.62;Buy;200;—;—;—;—;Miscellaneous
ATO;66.14;2.64%;1.70;Buy;153.252K;6.999B;15.75;4.34;108317.00;Technology Services
